        Frequency / GHz                S1,1/abs,dB
----------------------------------------------------------------------
                      20                     -0.62954934
                   20.01                     -0.61275288
                   20.02                     -0.59624207
               20.029999                     -0.58018411
               20.039999                      -0.5647363
               20.049999                     -0.55004977
               20.059999                     -0.53626158
                   20.07                     -0.52349819
                   20.08                     -0.51187375
               20.089998                     -0.50148816
               20.099998                     -0.49242691
               20.109999                     -0.48476187
               20.120001                     -0.47854958
               20.130001                     -0.47383103
               20.139999                     -0.47063305
                   20.15                     -0.46896704
                   20.16                     -0.46882742
                   20.17                     -0.47019645
                   20.18                     -0.47303994
               20.189999                     -0.47731019
               20.199999                     -0.48294594
               20.209999                     -0.48987165
               20.219999                     -0.49800021
                   20.23                      -0.5072333
               20.239998                     -0.51746096
               20.249998                     -0.52856251
               20.259998                     -0.54041039
                   20.27                     -0.55286799
               20.280001                     -0.56579298
               20.290001                     -0.57903824
               20.299999                     -0.59245183
               20.309999                     -0.60588217
                   20.32                       -0.619176
                   20.33                     -0.63218181
                   20.34                     -0.64475142
               20.349998                     -0.65673957
               20.359999                     -0.66801174
               20.369999                     -0.67843836
               20.379999                     -0.68789991
               20.389999                     -0.69628994
                    20.4                     -0.70351308
               20.409998                     -0.70948969
                   20.42                     -0.71415298
                   20.43                     -0.71745428
               20.440001                     -0.71935953
               20.450001                     -0.71985261
               20.459999                     -0.71893497
               20.469999                     -0.71662219
                   20.48                     -0.71295087
                   20.49                     -0.70796965
                    20.5                      -0.7017426
               20.509998                     -0.69435004
               20.519999                     -0.68588327
               20.529999                      -0.6764463
               20.539999                     -0.66615095
               20.549999                     -0.65512102
               20.559998                     -0.64348382
                   20.57                     -0.63137311
                   20.58                     -0.61892613
                   20.59                     -0.60628045
                    20.6                       -0.593577
               20.610001                     -0.58095124
               20.619999                     -0.56853878
               20.629999                     -0.55647013
               20.639999                     -0.54486908
                   20.65                     -0.53385297
                   20.66                     -0.52353285
               20.669998                     -0.51400935
               20.679998                     -0.50537387
               20.689999                     -0.49770756
               20.699999                     -0.49108153
               20.710001                     -0.48555201
               20.720001                     -0.48116849
                   20.73                     -0.47796388
                   20.74                     -0.47596094
                   20.75                     -0.47516977
                   20.76                     -0.47558749
                   20.77                      -0.4771998
               20.779999                     -0.47997839
               20.789999                     -0.48388589
               20.799999                     -0.48887196
               20.809999                     -0.49487329
                   20.82                     -0.50182078
               20.829998                     -0.50963074
               20.839998                     -0.51821431
               20.849998                     -0.52747197
               20.860001                     -0.53729763
               20.870001                      -0.5475798
               20.879999                     -0.55820018
               20.889999                     -0.56903811
                    20.9                     -0.57997079
                   20.91                     -0.59087083
                   20.92                     -0.60161457
                   20.93                     -0.61207916
               20.939999                     -0.62214166
               20.949999                      -0.6316881
               20.959999                     -0.64060544
               20.969999                     -0.64879083
                   20.98                     -0.65614971
               20.989998                     -0.66259707
               20.999998                     -0.66805672
                   21.01                     -0.67246665
                   21.02                     -0.67577636
               21.030001                     -0.67794782
               21.040001                     -0.67895878
               21.049999                     -0.67879972
               21.059999                      -0.6774747
                   21.07                     -0.67500271
                   21.08                     -0.67141688
                   21.09                     -0.66676148
               21.099998                     -0.66109588
               21.109999                     -0.65448945
               21.119999                     -0.64702253
               21.129999                     -0.63878575
               21.139999                      -0.6298772
               21.149998                      -0.6204027
               21.159998                     -0.61047235
                   21.17                      -0.6002039
                   21.18                     -0.58971526
               21.190001                     -0.57912446
               21.199999                     -0.56855297
               21.209999                     -0.55811987
               21.219999                     -0.54794063
                   21.23                     -0.53812794
                   21.24                     -0.52878969
                   21.25                     -0.52002723
               21.259998                     -0.51193613
               21.269999                     -0.50460199
               21.279999                      -0.4981032
               21.289999                     -0.49251091
               21.299999                     -0.48788117
               21.309998                     -0.48426593
                   21.32                     -0.48170176
                   21.33                     -0.48021653
                   21.34                     -0.47982552
                   21.35                     -0.48053292
               21.360001                     -0.48233259
               21.369999                     -0.48520704
               21.379999                     -0.48912528
               21.389999                     -0.49404698
                    21.4                     -0.49992269
                   21.41                     -0.50668992
               21.419998                     -0.51427852
               21.429998                     -0.52260833
               21.439999                     -0.53159201
               21.449999                     -0.54113263
               21.460001                     -0.55112885
               21.469999                      -0.5614723
                   21.48                     -0.57205087
                   21.49                     -0.58274893
                    21.5                     -0.59344824
                   21.51                      -0.6040297
               21.519999                     -0.61437522
               21.529999                     -0.62436904
               21.539999                     -0.63389606
