        Frequency / GHz                S1,1/abs,dB
----------------------------------------------------------------------
                      20                     -0.92060008
               20.029999                     -0.95008591
               20.059999                     -0.97718324
               20.089998                      -1.0013593
               20.120001                      -1.0221223
                   20.15                      -1.0390246
                   20.18                      -1.0516787
               20.209999                       -1.059762
               20.239998                      -1.0630213
                   20.27                      -1.0612857
               20.299999                      -1.0544652
                   20.33                      -1.0425556
               20.359999                      -1.0256372
               20.389999                      -1.0038799
                   20.42                     -0.97752676
               20.450001                     -0.94690481
                   20.48                     -0.91240338
               20.509998                     -0.87447271
               20.539999                     -0.83361146
                   20.57                     -0.79035687
                    20.6                     -0.74527216
               20.629999                      -0.6989372
                   20.66                     -0.65193185
               20.689999                     -0.60483714
               20.720001                     -0.55821354
                   20.75                     -0.51259815
               20.779999                     -0.46849964
               20.809999                     -0.42638814
               20.839998                     -0.38669115
               20.870001                     -0.34979383
                    20.9                     -0.31603148
                   20.93                      -0.2856918
               20.959999                     -0.25901389
               20.989998                     -0.23618572
                   21.02                     -0.21734994
               21.049999                     -0.20260042
                   21.08                     -0.19198824
               21.109999                     -0.18552057
               21.139999                     -0.18316558
                   21.17                     -0.18485229
               21.199999                      -0.1904775
                   21.23                     -0.19990144
               21.259998                      -0.2129558
               21.289999                     -0.22944556
                   21.32                     -0.24914724
                   21.35                     -0.27181577
               21.379999                     -0.29718342
                   21.41                     -0.32496479
               21.439999                     -0.35485535
               21.469999                      -0.3865359
                    21.5                     -0.41967707
               21.529999                     -0.45393505
               21.559999                       -0.488962
               21.589998                     -0.52440454
               21.620001                     -0.55990793
                   21.65                     -0.59511842
                   21.68                     -0.62969257
               21.709999                     -0.66329289
               21.739998                      -0.6955996
                   21.77                     -0.72631132
               21.799999                     -0.75515231
                   21.83                     -0.78187417
               21.859999                     -0.80626449
               21.889999                     -0.82814618
                   21.92                     -0.84738712
               21.949999                     -0.86389629
                   21.98                     -0.87763227
               22.009998                     -0.88860267
               22.039999                     -0.89686112
                   22.07                     -0.90251296
                    22.1                     -0.90570705
               22.129999                     -0.90663671
               22.159998                     -0.90553793
               22.189999                      -0.9026785
               22.219999                     -0.89835907
                   22.25                     -0.89290422
               22.279999                     -0.88666036
               22.309999                     -0.87998563
               22.339998                     -0.87324496
               22.370001                     -0.86681013
                    22.4                     -0.86104784
               22.429998                     -0.85631969
               22.459999                      -0.8529764
               22.489998                     -0.85135813
                   22.52                     -0.85178771
               22.549999                     -0.85457295
                   22.58                     -0.86000221
               22.609999                     -0.86834695
               22.640001                     -0.87986109
                   22.67                     -0.89477967
               22.699999                     -0.91332237
                   22.73                      -0.9356939
               22.759998                     -0.96208467
               22.790001                     -0.99267295
                   22.82                      -1.0276296
                   22.85                      -1.0671154
               22.879999                      -1.1112853
               22.909998                      -1.1602912
               22.940001                      -1.2142844
               22.969999                      -1.2734155
                      23                      -1.3378379
               23.029999                      -1.4077102
               23.059999                      -1.4831954
                   23.09                      -1.5644694
               23.119999                      -1.6517152
                   23.15                      -1.7451286
               23.179998                      -1.8449186
               23.209999                       -1.951314
                   23.24                      -2.0645553
                   23.27                      -2.1849092
               23.299999                       -2.312656
                   23.33                       -2.448105
               23.359999                      -2.5915863
               23.389999                      -2.7434569
                   23.42                      -2.9041021
               23.449999                      -3.0739342
                   23.48                      -3.2533977
               23.509998                      -3.4429672
               23.540001                      -3.6431498
                   23.57                      -3.8544847
                    23.6                      -4.0775438
               23.629999                      -4.3129304
               23.659998                      -4.5612785
               23.690001                      -4.8232474
               23.719999                      -5.0995161
                   23.75                      -5.3907778
               23.779999                      -5.6977249
               23.809999                      -6.0210319
                   23.84                      -6.3613274
               23.869999                      -6.7191664
                    23.9                      -7.0949695
               23.929998                      -7.4889607
               23.959999                      -7.9010712
                   23.99                      -8.3308008
                   24.02                      -8.7770533
               24.049999                      -9.2378946
               24.079998                      -9.7102561
               24.109999                      -10.189562
               24.139999                      -10.669313
                   24.17                      -11.140661
               24.199999                      -11.592074
                   24.23                      -12.009344
               24.259998                      -12.376085
               24.290001                      -12.675085
                   24.32                      -12.890454
               24.349998                      -13.010358
               24.379999                      -13.029402
               24.409998                      -12.949866
               24.440001                      -12.781155
               24.469999                      -12.537766
                    24.5                      -12.236579
               24.529999                      -11.894416
               24.559999                      -11.526361
                   24.59                      -11.144937
               24.619999                      -10.759947
                   24.65                      -10.378699
               24.679998                      -10.006404
               24.709999                      -9.6466151
                   24.74                        -9.30162
                   24.77                      -8.9727594
               24.799999                      -8.6606961
               24.829998                      -8.3656093
               24.859999                       -8.087342
               24.889999                      -7.8255053
                   24.92                      -7.5795639
               24.949999                      -7.3488862
                   24.98                      -7.1327888
               25.009998                      -6.9305652
               25.039999                       -6.741502
                   25.07                      -6.5648963
               25.099998                      -6.4000635
               25.129999                      -6.2463446
               25.159998                      -6.1031103
               25.190001                      -5.9697572
               25.219999                      -5.8457175
                   25.25                      -5.7304579
               25.279999                      -5.6234705
               25.309998                      -5.5242785
                   25.34                      -5.4324382
               25.369999                       -5.347532
                    25.4                      -5.2691704
               25.429998                      -5.1969843
               25.460001                      -5.1306348
                   25.49                      -5.0698033
                   25.52                      -5.0141923
               25.549999                      -4.9635246
               25.579998                      -4.9175418
               25.610001                      -4.8760052
               25.639999                      -4.8386911
                   25.67                      -4.8053951
               25.699999                      -4.7759234
                   25.73                      -4.7501027
               25.759998                      -4.7277699
               25.789999                      -4.7087772
                   25.82                      -4.6929888
               25.849998                      -4.6802816
               25.879999                      -4.6705465
               25.909998                      -4.6636883
               25.940001                       -4.659617
               25.969999                      -4.6582607
               25.999998                      -4.6595583
               26.029999                      -4.6634583
               26.059998                      -4.6699239
                   26.09                      -4.6789261
               26.119999                      -4.6904522
                   26.15                      -4.7044966
               26.179998                      -4.7210695
               26.210001                       -4.740191
                   26.24                      -4.7618954
               26.269999                      -4.7862253
               26.299999                      -4.8132393
               26.329998                      -4.8430071
               26.360001                      -4.8756114
               26.389999                      -4.9111465
                   26.42                      -4.9497209
               26.449999                      -4.9914543
                   26.48                      -5.0364826
                   26.51                      -5.0849517
               26.539999                      -5.1370264
                   26.57                      -5.1928792
               26.599998                      -5.2527031
               26.629999                      -5.3167033
                   26.66                      -5.3851015
               26.690001                      -5.4581359
               26.719999                      -5.5360613
               26.749998                      -5.6191517
               26.779999                      -5.7076994
               26.809999                      -5.8020207
                   26.84                      -5.9024497
               26.869999                      -6.0093466
                    26.9                      -6.1230992
               26.929998                       -6.244119
               26.959999                      -6.3728523
                   26.99                      -6.5097791
               27.019999                      -6.6554141
               27.049999                      -6.8103154
               27.079998                      -6.9750868
               27.110001                      -7.1503813
               27.139999                      -7.3369123
                   27.17                      -7.5354533
               27.199999                      -7.7468518
               27.229998                      -7.9720393
                   27.26                      -8.2120385
               27.289999                      -8.4679785
                   27.32                      -8.7411139
               27.349998                      -9.0328389
               27.379999                       -9.344718
                   27.41                      -9.6785108
               27.440001                      -10.036206
               27.469999                      -10.420077
               27.499998                      -10.832727
               27.529999                      -11.277175
               27.559999                      -11.756943
                   27.59                      -12.276196
               27.619999                      -12.839896
                   27.65                      -13.454053
               27.679998                      -14.126051
               27.709999                        -14.8651
                   27.74                      -15.682932
               27.769999                      -16.594819
               27.799999                      -17.621195
               27.829998                      -18.790216
               27.860001                      -20.142243
               27.889999                      -21.737696
               27.919998                      -23.671844
               27.949999                      -26.103161
               27.979998                      -29.293236
                   28.01                      -33.417769
               28.039999                      -35.638251
                   28.07                      -32.153179
               28.099998                      -28.424884
               28.129999                      -25.644622
                   28.16                      -23.526064
               28.189999                      -21.844358
               28.219999                      -20.466085
               28.249998                      -19.309754
               28.279999                      -18.322874
               28.309999                      -17.469904
                   28.34                      -16.725726
               28.369999                      -16.072007
                    28.4                      -15.494967
               28.429998                      -14.983947
               28.459999                      -14.530597
                   28.49                      -14.128216
               28.519999                      -13.771342
               28.549999                      -13.455501
               28.579998                      -13.176944
               28.610001                      -12.932533
               28.639999                      -12.719593
               28.669998                      -12.535859
               28.699999                      -12.379363
               28.729998                      -12.248412
                   28.76                      -12.141547
               28.789999                      -12.057482
                   28.82                      -11.995106
               28.849998                      -11.953431
               28.879997                      -11.931588
                   28.91                      -11.928814
               28.939999                      -11.944409
               28.969999                      -11.977751
               28.999998                      -12.028255
               29.030001                      -12.095371
               29.059999                      -12.178554
                   29.09                      -12.277253
               29.119999                      -12.390883
               29.149998                        -12.5188
                   29.18                      -12.660267
               29.209999                      -12.814416
                   29.24                      -12.980211
               29.269999                      -13.156388
               29.299999                      -13.341398
                   29.33                      -13.533354
               29.360001                       -13.72995
               29.389999                      -13.928411
               29.419998                      -14.125372
               29.449999                      -14.316933
                   29.48                      -14.498575
                   29.51                      -14.665242
               29.539999                      -14.811415
                   29.57                      -14.931404
               29.599998                      -15.019594
               29.629999                      -15.070824
                   29.66                      -15.080862
               29.689999                      -15.046767
               29.719999                      -14.967224
               29.749998                      -14.842625
               29.780001                      -14.675105
               29.809999                      -14.468187
               29.839998                      -14.226502
               29.869999                      -13.955315
               29.899998                      -13.660148
                   29.93                      -13.346382
               29.959999                      -13.019062
                   29.99                       -12.68269
               30.019999                       -12.34117
               30.049999                      -11.997777
                   30.08                      -11.655215
               30.109999                      -11.315635
               30.139999                      -10.980737
               30.169998                      -10.651798
               30.199999                      -10.329771
                   30.23                      -10.015321
                   30.26                      -9.7088955
               30.289999                      -9.4107563
                   30.32                      -9.1210278
               30.349998                      -8.8397173
               30.379999                      -8.5667523
                   30.41                      -8.3020001
               30.439999                      -8.0452736
               30.469999                      -7.7963669
               30.499998                      -7.5550483
               30.530001                      -7.3210734
               30.559999                      -7.0942006
               30.589998                      -6.8741929
               30.619999                      -6.6608177
               30.649998                      -6.4538591
                   30.68                      -6.2531019
               30.709999                      -6.0583666
                   30.74                      -5.8694721
               30.769999                       -5.686265
               30.799997                      -5.5086035
                   30.83                      -5.3363638
               30.859999                      -5.1694354
               30.889999                      -5.0077254
               30.919998                      -4.8511503
               30.949999                      -4.6996386
                   30.98                      -4.5531319
                   31.01                      -4.4115711
               31.039999                      -4.2749074
               31.069998                      -4.1430991
               31.099998                      -4.0160988
               31.129999                      -3.8938689
                   31.16                      -3.7763649
               31.189999                      -3.6635351
               31.219999                      -3.5553305
               31.249998                      -3.4516986
               31.280001                       -3.352572
               31.309999                      -3.2578815
               31.339998                      -3.1675496
               31.369999                      -3.0814864
               31.399998                      -2.9995985
                   31.43                      -2.9217745
               31.459999                      -2.8479018
                   31.49                      -2.7778537
               31.519999                       -2.711494
               31.549997                      -2.6486813
                   31.58                      -2.5892595
               31.609999                      -2.5330697
               31.639999                       -2.479943
               31.669998                      -2.4297033
               31.700001                      -2.3821707
                   31.73                      -2.3371624
               31.759998                        -2.29449
               31.789999                      -2.2539591
               31.819998                      -2.2153852
                   31.85                      -2.1785731
               31.879999                      -2.1433377
                   31.91                      -2.1094918
               31.939999                      -2.0768587
               31.969999                      -2.0452637
                      32                      -2.0145443
               32.029999                      -1.9845439
               32.059998                      -1.9551178
                   32.09                      -1.9261378
               32.119999                      -1.8974841
               32.149998                      -1.8690556
                   32.18                      -1.8407647
               32.209999                      -1.8125408
               32.240002                      -1.7843326
                   32.27                      -1.7560995
               32.299999                      -1.7278287
               32.329998                      -1.6995177
               32.359997                      -1.6711797
               32.389999                      -1.6428475
               32.419998                      -1.6145671
               32.450001                      -1.5863989
                   32.48                      -1.5584137
               32.509998                      -1.5306981
               32.540001                      -1.5033443
                   32.57                      -1.4764515
               32.599998                      -1.4501257
               32.629997                      -1.4244769
                   32.66                      -1.3996139
               32.689999                      -1.3756488
               32.719997                      -1.3526924
                   32.75                      -1.3308455
               32.779999                       -1.310209
               32.809998                      -1.2908755
                   32.84                      -1.2729273
               32.869999                      -1.2564403
               32.899998                      -1.2414758
                   32.93                      -1.2280877
               32.959999                      -1.2163135
               32.989998                      -1.2061806
                   33.02                      -1.1976999
               33.049999                      -1.1908715
               33.079998                      -1.1856817
               33.109997                      -1.1820989
               33.139999                        -1.18008
               33.169998                      -1.1795721
               33.200001                      -1.1805008
                   33.23                      -1.1827857
               33.259998                      -1.1863308
               33.290001                      -1.1910315
                   33.32                      -1.1967719
               33.349998                      -1.2034248
               33.379997                      -1.2108586
                   33.41                      -1.2189325
               33.439999                      -1.2275033
               33.469997                       -1.236423
                    33.5                       -1.245544
               33.529999                       -1.254718
               33.560001                      -1.2638002
                   33.59                       -1.272654
               33.619999                      -1.2811458
               33.649998                      -1.2891571
               33.679996                      -1.2965809
               33.709999                      -1.3033212
               33.739998                      -1.3093062
                   33.77                      -1.3144762
               33.799999                      -1.3187975
               33.829998                      -1.3222589
               33.860001                      -1.3248687
               33.889999                       -1.326664
               33.919998                      -1.3277047
               33.949997                      -1.3280763
                   33.98                      -1.3278904
               34.009998                      -1.3272805
               34.040001                      -1.3264019
